param,pft,organ,value_min,value_max,source_min,source_max
fates_recruit_seed_alloc,1,NaN,0,0.0903337023034692,NA,"Buotte et al., 2021"
fates_recruit_seed_alloc,4,NaN,0,0.01,NA,Tuning
fates_recruit_seed_alloc,5,NaN,0,0.01,NA,Tuning
fates_recruit_seed_alloc_mature,1,NaN,0.1,0.392860281514004,,"Buotte et al., 2021"
fates_recruit_seed_alloc_mature,4,NaN,0.1,0.4,,Tuning
fates_recruit_seed_alloc_mature,5,NaN,0.1,0.3,,Tuning
fates_leaf_vcmax25top,1,,,,,
,2,,,,,
,3,,,,,
,4,,,,,
,5,,,,,
fates_fire_threshold,,,,,,
