param,pft,organ,value_min,value_max,source_min,source_max
fates_recruit_seed_alloc_mature,1,NaN,0.1,0.392860281514004,NA,"Buotte et al., 2021"
fates_recruit_seed_alloc_mature,4,NaN,0.1,0.4,NA,Tuning
fates_recruit_seed_alloc_mature,5,NaN,0.1,0.3,NA,Tuning
fates_leaf_vcmax25top,1,NaN,40,60,NA,Tuning
fates_leaf_vcmax25top,2,NaN,30,50,NA,Tuning
fates_leaf_vcmax25top,3,NaN,20,40,NA,Tuning
fates_leaf_vcmax25top,4,NaN,55,90,NA,Tuning
fates_leaf_vcmax25top,5,NaN,50,70,NA,Tuning
fates_fire_threshold,0,NaN,500,3500,NA,Tuning
fates_stoich_nitr,4,1,0.02,0.04,NA,Tuning
