fates_name,min_value,max_value,mean,median,sample_size,subset_name,sources,pft
fates_leaf_slatop,0.01698,0.022378,0.018568499357343,0.016988023443472,8,QUKE,try,oak
fates_stoich_nitr,0.0306,0.039,0.034243333333333,0.033965,6,QUKE,try,oak
fates_wood_density,0.51,0.72,0.58,0.51,3,QUKE,try,oak
fates_leaf_slatop,0.01283193015838,0.01283193015838,0.01283193015838,0.01283193015838,1,QUCH,try,oak
fates_stoich_nitr,0.0208,0.0208,0.0208,0.0208,1,QUCH,try,oak
fates_wood_density,0.7,0.7,0.7,0.7,2,QUCH,try,oak
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.181818181818182,,,,,,
