pft_ineq,param,pft,organ,value_min,value_max,apriori_value,source_min,source_max,source_apriori,comments,link,additional_values
FALSE,fates_recruit_seed_alloc_mature,1,NaN,0.04,0.392860281514004,0.392860281514004,"Wenk & Falster, 2015 (Abies)","Buotte et al., 2021","Buotte et al., 2021",I want a wide range in this because I saw that it affects fuel loads quite a lot,,
<pine,fates_recruit_seed_alloc_mature,2,NaN,0.04,0.392860281514004,0.270920433068498,"Wenk & Falster, 2015 (Abies)","Buotte et al., 2021","Buotte et al., 2021",,,
<pine,fates_recruit_seed_alloc_mature,3,NaN,0.04,0.392860281514004,0.270920433068498,"Wenk & Falster, 2015 (Abies)","Buotte et al., 2021","Buotte et al., 2021",,,
FALSE,fates_recruit_seed_alloc_mature,4,NaN,0.21,0.53,0.4,"Wenk & Falster, 2015","Wenk & Falster, 2015",070723 param,Based on the two shrubs shown in Table 2,https://onlinelibrary.wiley.com/doi/10.1002/ece3.1802,
FALSE,fates_recruit_seed_alloc_mature,5,NaN,0.1,0.42,0.3,Fates default,"Wenk & Falster, 2015",070723 param,Based on Quercus acuta and Quercus salicina shown in Table 2,,
FALSE,fates_recruit_seed_dbh_repro_threshold,1,NaN,10,30,,"Wenk & Falster, 2017; Andrus et al., 2020; Fryer 2018; Zouhar 2001(USFS,see journal)","Wenk & Falster, 2017; Andrus et al., 2020; Fryer 2018; Zouhar 2001(USFS,see journal)",,,,
pine,fates_recruit_seed_dbh_repro_threshold,2,NaN,10,30,,"Wenk & Falster, 2017; Andrus et al., 2020; Fryer 2018; Zouhar 2001(USFS,see journal)","Wenk & Falster, 2017; Andrus et al., 2020; Fryer 2018; Zouhar 2001(USFS,see journal)",,,,
pine,fates_recruit_seed_dbh_repro_threshold,3,NaN,10,30,,"Wenk & Falster, 2017; Andrus et al., 2020; Fryer 2018; Zouhar 2001(USFS,see journal)","Wenk & Falster, 2017; Andrus et al., 2020; Fryer 2018; Zouhar 2001(USFS,see journal)",,,,
FALSE,fates_recruit_seed_dbh_repro_threshold,5,NaN,10,30,,"Wenk & Falster, 2017; Andrus et al., 2020; Fryer 2018; Zouhar 2001(USFS,see journal)","Wenk & Falster, 2017; Andrus et al., 2020; Fryer 2018; Zouhar 2001(USFS,see journal)",,,,
FALSE,fates_fire_bark_scaler,5,NaN,0.0077,0.02,0.038,"Pausas, 2014; low end of interquartile range","Pausas, 2014; high end of interquartile range",,Fig. 5A shows oak bark thickness relative to pine. There is another source for this (linke on right),https://www.researchgate.net/figure/Allometric-relationships-between-tree-diameter-and-mean-bark-thickness-across-species_fig2_258639642,
FALSE,fates_fire_alpha_SH,1,NaN,0.1,0.25,0.219,"Thonicke et al., 2010",Maximum possible value,"Initial testing and Buotte et al., 2021",,,
>pine,fates_fire_alpha_SH,2,NaN,0.1,0.25,,"Thonicke et al., 2010",Maximum possible value,,,,
cedar,fates_fire_alpha_SH,3,NaN,0.1,0.25,,"Thonicke et al., 2010",Maximum possible value,,,,
FALSE,fates_fire_alpha_SH,4,NaN,0.1,0.25,,Tuning,Tuning,,This parameter shouldn’t be too sensitive because shrubs don’t have a strategy of resisting fire by growing up tall,,
FALSE,fates_fire_alpha_SH,5,NaN,0.1,0.25,,"Thonicke et al., 2010",Maximum possible value,,,,
FALSE,fates_fire_drying_ratio,0,NaN,44000,70000,66000,"Buotte et al., 2021 and initial testing",Tuning,Fates default,This affects fire intensity a lot,,
FALSE,fates_fire_nignitions,0,NaN,0.5,7,0.25 for CZ2, 1 for STAN,Initial testing,Initial testing,Initial testing,,
FALSE,fates_mort_bmort,1,NaN,0,0.002,0.008,Initial testing was 0.004,"Buotte et al., 2021","Buotte et al., 2021","Using Buotte, 2021 as the max because we need to get stem density up compared to initial tests",,
pine,fates_mort_bmort,2,NaN,0,0.002,0.008,Initial testing was 0.004,"Buotte et al., 2021","Buotte et al., 2021","Using Buotte, 2021 as the max because we need to get stem density up compared to initial tests",,
pine,fates_mort_bmort,3,NaN,0,0.002,0.008,Initial testing was 0.004,"Buotte et al., 2021","Buotte et al., 2021","Using Buotte, 2021 as the max because we need to get stem density up compared to initial tests",,
FALSE,fates_mort_bmort,4,NaN,0.008,0.1,0.02,This should be greater than conifers,Tuning,070723 param,,,
pine,fates_mort_bmort,5,NaN,0,0.002,0.014,Initial testing was 0.004,Fates default,Fates default,070723 value was at 0.004. Use Fates default as the max because initial testing shows we need to bring stem density up,,
FALSE,fates_leaf_slatop,1,NaN,0.007,0.017,0.009,"Buotte et al., 2021. This also roughly corresponds to the 25% percentile of observations from TRY",95% percentile of observations from TRY,"Buotte et al., 2021:: PCF7",,,
>pine,fates_leaf_slatop,2,NaN,0.007,0.017,0.01,"Buotte et al., 2021. This also roughly corresponds to the 25% percentile of observations from TRY",95% percentile of observations from TRY,,,,
cedar,fates_leaf_slatop,3,NaN,0.007,0.017,0.01,"Buotte et al., 2021. This also roughly corresponds to the 25% percentile of observations from TRY",95% percentile of observations from TRY,,,,
