VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME
-9999,-9999,na,na,No Data
11,11,na,na,Open Water
12,12,na,na,Perrennial Ice/Snow
31,31,na,na,Barren-Rock/Sand/Clay
414,10010,10,1010010,Inter-Mountain Basins Sparsely Vegetated Systems
415,10060,10,1010060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
416,10110,10,1010110,Rocky Mountain Aspen Forest and Woodland
417,10451,10,1010451,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir
418,10452,10,1010452,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch
419,10453,10,1010453,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir
420,10460,10,1010460,Northern Rocky Mountain Subalpine Woodland and Parkland
421,10471,10,1010471,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
422,10472,10,1010472,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves
423,10530,10,1010530,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna
424,10550,10,1010550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
425,10560,10,1010560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
426,10620,10,1010620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
427,10650,10,1010650,Columbia Plateau Scabland Shrubland
428,10700,10,1010700,Rocky Mountain Alpine Dwarf-Shrubland
429,10790,10,1010790,Great Basin Xeric Mixed Sagebrush Shrubland
430,10800,10,1010800,Inter-Mountain Basins Big Sagebrush Shrubland
431,11060,10,1011060,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland
432,11150,10,1011150,Inter-Mountain Basins Juniper Savanna
433,11230,10,1011230,Columbia Plateau Steppe and Grassland
434,11240,10,1011240,Columbia Plateau Low Sagebrush Steppe
435,11250,10,1011250,Inter-Mountain Basins Big Sagebrush Steppe
436,11260,10,1011260,Inter-Mountain Basins Montane Sagebrush Steppe
437,11270,10,1011270,Inter-Mountain Basins Semi-Desert Shrub-Steppe
438,11340,10,1011340,Columbia Basin Foothill and Canyon Dry Grassland
439,11350,10,1011350,Inter-Mountain Basins Semi-Desert Grassland
440,11390,10,1011390,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
441,11400,10,1011400,Northern Rocky Mountain Subalpine-Upper Montane Grassland
442,11420,10,1011420,Columbia Basin Palouse Prairie
443,11450,10,1011450,Rocky Mountain Subalpine-Montane Mesic Meadow
444,11530,10,1011530,Inter-Mountain Basins Greasewood Flat
445,11540,10,1011540,Inter-Mountain Basins Montane Riparian Systems
446,11590,10,1011590,Rocky Mountain Montane Riparian Systems
447,11600,10,1011600,Rocky Mountain Subalpine/Upper Montane Riparian Systems
448,11610,10,1011610,Northern Rocky Mountain Conifer Swamp
449,11660,10,1011660,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
450,11670,10,1011670,Rocky Mountain Poor-Site Lodgepole Pine Forest
451,10010,19,1910010,Inter-Mountain Basins Sparsely Vegetated Systems
452,10060,19,1910060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
453,10090,19,1910090,Northwestern Great Plains Aspen Forest and Parkland
454,10110,19,1910110,Rocky Mountain Aspen Forest and Woodland
455,10190,19,1910190,Great Basin Pinyon-Juniper Woodland
456,10451,19,1910451,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir
